filename,width,height,class,xmin,ymin,xmax,ymax
IMG_7485.JPG,3024,3024,15rail,295,1648,2406,2692
IMG_7511.JPG,3024,3024,11rail,779,709,2345,1070
IMG_7511.JPG,3024,3024,9rail,923,970,1456,2198
IMG_7511.JPG,3024,3024,7rail,1329,1853,2167,2531
IMG_7511.JPG,3024,3024,7rail,573,2609,1506,2931
IMG_7455.JPG,3024,3024,9rail,917,231,1917,2698
IMG_7456.JPG,3024,3024,9rail,940,348,1901,2459
IMG_7498.JPG,3024,3024,7rail,617,520,840,1620
IMG_7490.JPG,3024,3024,7rail,1273,1076,1523,2381
IMG_7505.JPG,3024,3024,9rail,73,576,1040,1537
IMG_7505.JPG,3024,3024,9rail,840,1003,1490,2237
IMG_7505.JPG,3024,3024,15rail,1351,814,2012,2970
IMG_7505.JPG,3024,3024,11rail,1751,26,2384,1620
IMG_7457.JPG,3024,3024,9rail,962,653,2129,2681
IMG_7489.JPG,3024,3024,7rail,923,803,1279,2142
IMG_7504.JPG,3024,3024,9rail,451,1531,1217,2731
IMG_7504.JPG,3024,3024,11rail,162,81,1751,509
IMG_7504.JPG,3024,3024,9rail,1734,1626,2351,2953
IMG_7504.JPG,3024,3024,15rail,2434,420,2806,2748
IMG_7474.JPG,3024,3024,15rail,295,1298,2884,2209
IMG_7486.JPG,3024,3024,15rail,473,1609,2534,2792
IMG_7508.JPG,3024,3024,7rail,534,2292,1556,2759
IMG_7508.JPG,3024,3024,7rail,1934,1376,2601,2359
IMG_7508.JPG,3024,3024,9rail,162,1081,1423,1748
IMG_7508.JPG,3024,3024,11rail,829,353,2523,820
IMG_7461.JPG,3024,3024,9rail,1373,453,1656,2570
IMG_7459.JPG,3024,3024,9rail,873,681,2295,2176
IMG_7477.JPG,3024,3024,15rail,306,864,2679,2431
IMG_7491.JPG,3024,3024,7rail,1873,987,2229,2264
IMG_7480.JPG,3024,3024,15rail,423,948,2795,2492
IMG_7478.JPG,3024,3024,15rail,1745,98,1967,2903
IMG_7496.JPG,3024,3024,7rail,2045,1964,2912,2964
IMG_7487.JPG,3024,3024,15rail,123,392,373,2631
IMG_7481.JPG,3024,3024,15rail,306,1120,2812,2387
IMG_7470.JPG,3024,3024,15rail,140,781,2729,1898
IMG_7479.JPG,3024,3024,15rail,429,709,2806,2353
IMG_7458.JPG,3024,3024,9rail,845,1459,2779,2248
IMG_7464.JPG,3024,3024,11rail,951,331,1467,2603
IMG_7473.JPG,3024,3024,15rail,195,1237,2823,2176
IMG_7472.JPG,3024,3024,15rail,1390,42,1729,2898
IMG_7466.JPG,3024,3024,11rail,673,559,2212,2126
IMG_7469.JPG,3024,3024,15rail,351,31,934,2981
IMG_7506.JPG,3024,3024,9rail,79,620,967,1514
IMG_7506.JPG,3024,3024,9rail,740,1137,1512,2192
IMG_7506.JPG,3024,3024,15rail,1123,942,2095,2903
IMG_7506.JPG,3024,3024,11rail,1662,98,2245,1626
IMG_7467.JPG,3024,3024,11rail,645,831,2223,2337
